N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.25528	-0.35183	0.066973	0.026951	-0.033911	0.071556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25494	-0.35205	0.067866	0.026325	-0.032731	0.10448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.35283	0.06887	0.032308	-0.03949	0.13176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25394	-0.35373	0.070656	0.034672	-0.047847	0.14229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25349	-0.35429	0.075456	0.029895	-0.052689	0.14084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25171	-0.35585	0.081149	0.022747	-0.053311	0.13817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2507	-0.35708	0.084497	0.017149	-0.052507	0.13342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25059	-0.35853	0.085055	0.011438	-0.051037	0.11955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25148	-0.35942	0.084609	0.0048044	-0.049245	0.10144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25182	-0.35975	0.087734	0.00020099	-0.048162	0.089165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25126	-0.36087	0.091976	-0.0030772	-0.047691	0.080479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25081	-0.36165	0.094208	-0.0083927	-0.049731	0.060956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25059	-0.36299	0.09499	-0.014759	-0.055345	0.029205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25092	-0.36433	0.094766	-0.01571	-0.066051	0.0068042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25182	-0.36478	0.09499	-0.0069276	-0.080328	0.0095466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25327	-0.36612	0.09365	0.0099916	-0.093648	0.026161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25383	-0.36746	0.092311	0.029981	-0.10426	0.035956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2526	-0.37058	0.093427	0.047279	-0.11093	0.030177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2507	-0.37382	0.097222	0.055156	-0.11065	0.011495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24847	-0.37605	0.10012	0.047487	-0.099357	-0.018868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24702	-0.37817	0.099343	0.02547	-0.076668	-0.063121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24646	-0.37951	0.096441	-0.0041248	-0.052876	-0.11565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24646	-0.38119	0.092422	-0.032773	-0.035998	-0.15998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24769	-0.38186	0.089743	-0.048555	-0.025929	-0.18321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24914	-0.38085	0.087064	-0.042301	-0.019274	-0.18219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25092	-0.38096	0.082153	-0.016027	-0.013967	-0.16466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25316	-0.38152	0.077353	0.014993	-0.013585	-0.14278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25338	-0.38241	0.072665	0.036427	-0.018369	-0.12467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25104	-0.3832	0.071438	0.0448	-0.023811	-0.11219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24691	-0.38264	0.071661	0.04044	-0.027256	-0.10646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24512	-0.38275	0.071326	0.023412	-0.027316	-0.10894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2459	-0.38353	0.068312	-0.00060671	-0.024431	-0.12114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24735	-0.38487	0.063959	-0.021087	-0.016627	-0.13559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2488	-0.3861	0.06061	-0.032094	0.0025521	-0.14308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24914	-0.3861	0.058378	-0.037694	0.032246	-0.1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24892	-0.38554	0.056257	-0.041184	0.062044	-0.14598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24892	-0.38453	0.05369	-0.041885	0.080068	-0.15462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25003	-0.38197	0.050788	-0.040574	0.080806	-0.17121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25249	-0.37873	0.047104	-0.037723	0.065915	-0.19821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25405	-0.37639	0.042862	-0.033904	0.042899	-0.23178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25394	-0.3756	0.039291	-0.029536	0.023234	-0.2557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2536	-0.37605	0.035049	-0.028545	0.015951	-0.25539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25316	-0.37773	0.028129	-0.037072	0.022894	-0.23667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25416	-0.37873	0.01998	-0.056338	0.041189	-0.21478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
